Proprietary Name	NDC Package Code	Strength	Dosage Form	Route	Appl. No.	Labeler Name	Product NDC	Nonproprietary Name	Substance Name	Product Type Name	Start Marketing Date	End Marketing Date	Market Category	Package Description	Pharm Class	DEA	Sample Package	Listing Record Certified Through:
Contrave	50090-2945-0	"8 mg/1,                         90  mg/1"	"TABLET, EXTENDED RELEASE"	ORAL	NDA200063	A-S Medication Solutions	50090-2945	naltrexone hydrochloride and bupropion hydrochloride	NALTREXONE HYDROCHLORIDE;  BUPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	10/22/2014	N/A	NDA	"120 TABLET, EXTENDED RELEASE in 1 BOTTLE (50090-2945-0)"	"Opioid Antagonist [EPC], Opioid Antagonists [MoA], Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]"	N/A	No	12/31/2021
Contrave	51267-890-99	"8 mg/1,                         90  mg/1"	"TABLET, EXTENDED RELEASE"	ORAL	NDA200063	Nalpropion Pharmaceuticals LLC	51267-890	naltrexone hydrochloride and bupropion hydrochloride	NALTREXONE HYDROCHLORIDE;  BUPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	10/22/2014	N/A	NDA	"120 TABLET, EXTENDED RELEASE in 1 BOTTLE (51267-890-99)"	"Opioid Antagonist [EPC], Opioid Antagonists [MoA], Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]"	N/A	No	12/31/2021
Contrave	43063-772-70	"8 mg/1,                         90  mg/1"	"TABLET, EXTENDED RELEASE"	ORAL	NDA200063	"PD-Rx Pharmaceuticals, Inc."	43063-772	naltrexone hydrochloride and bupropion hydrochloride	NALTREXONE HYDROCHLORIDE;  BUPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	10/22/2014	N/A	NDA	"70 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (43063-772-70)"	"Opioid Antagonist [EPC], Opioid Antagonists [MoA], Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]"	N/A	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-14	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"14 TABLET in 1 BOTTLE, PLASTIC (43063-541-14)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-60	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"60 TABLET in 1 BOTTLE, PLASTIC (43063-541-60)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
benzphetamine hydrochloride	46672-843-10	25 mg/1	TABLET	ORAL	ANDA090473	"Mikart, LLC"	46672-843	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	9/15/2010	N/A	ANDA	"100 TABLET in 1 BOTTLE, PLASTIC (46672-843-10)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-5	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	42 TABLET in 1 BOTTLE (71335-0451-5)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-98	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"120 TABLET in 1 BOTTLE, PLASTIC (43063-541-98)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
benzphetamine hydrochloride	46672-844-50	50 mg/1	TABLET	ORAL	ANDA090473	"Mikart, LLC"	46672-844	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	11/1/2011	N/A	ANDA	"500 TABLET in 1 BOTTLE, PLASTIC (46672-844-50)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-3	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	14 TABLET in 1 BOTTLE (71335-0451-3)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	50090-1024-2	50 mg/1	TABLET	ORAL	ANDA090968	A-S Medication Solutions	50090-1024	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	90 TABLET in 1 BOTTLE (50090-1024-2)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
Benzphetamine Hydrochloride	42806-081-30	50 mg/1	"TABLET, FILM COATED"	ORAL	ANDA090346	"Epic Pharma, LLC"	42806-081	Benzphetamine Hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	12/16/2015	N/A	ANDA	"30 TABLET, FILM COATED in 1 BOTTLE (42806-081-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
Benzphetamine Hydrochloride	42806-081-01	50 mg/1	"TABLET, FILM COATED"	ORAL	ANDA090346	"Epic Pharma, LLC"	42806-081	Benzphetamine Hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	12/16/2015	N/A	ANDA	"100 TABLET, FILM COATED in 1 BOTTLE (42806-081-01)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
BENZPHETAMINE HYDROCHLORIDE	71335-0451-9	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	120 TABLET in 1 BOTTLE (71335-0451-9)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-30	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"30 TABLET in 1 BOTTLE, PLASTIC (43063-541-30)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-45	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"45 TABLET in 1 BOTTLE, PLASTIC (43063-541-45)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	10702-040-01	50 mg/1	TABLET	ORAL	ANDA090968	"KVK-TECH, INC"	10702-040	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	100 TABLET in 1 BOTTLE (10702-040-01)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	10702-040-03	50 mg/1	TABLET	ORAL	ANDA090968	"KVK-TECH, INC"	10702-040	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	30 TABLET in 1 BOTTLE (10702-040-03)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	10702-040-10	50 mg/1	TABLET	ORAL	ANDA090968	"KVK-TECH, INC"	10702-040	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	1000 TABLET in 1 BOTTLE (10702-040-10)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	10702-040-50	50 mg/1	TABLET	ORAL	ANDA090968	"KVK-TECH, INC"	10702-040	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	500 TABLET in 1 BOTTLE (10702-040-50)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-8	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	90 TABLET in 1 BOTTLE (71335-0451-8)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-1	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	30 TABLET in 1 BOTTLE (71335-0451-1)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-7	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	60 TABLET in 1 BOTTLE (71335-0451-7)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-2	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	7 TABLET in 1 BOTTLE (71335-0451-2)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	71335-0451-6	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	84 TABLET in 1 BOTTLE (71335-0451-6)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
benzphetamine hydrochloride	46672-843-64	25 mg/1	TABLET	ORAL	ANDA090473	"Mikart, LLC"	46672-843	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	9/15/2010	N/A	ANDA	"14 TABLET in 1 BOTTLE, PLASTIC (46672-843-64)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	43063-541-90	50 mg/1	TABLET	ORAL	ANDA090968	"PD-Rx Pharmaceuticals, Inc."	43063-541	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	"90 TABLET in 1 BOTTLE, PLASTIC (43063-541-90)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
BENZPHETAMINE HYDROCHLORIDE	50090-1024-1	50 mg/1	TABLET	ORAL	ANDA090968	A-S Medication Solutions	50090-1024	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	60 TABLET in 1 BOTTLE (50090-1024-1)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
BENZPHETAMINE HYDROCHLORIDE	71335-0451-4	50 mg/1	TABLET	ORAL	ANDA090968	Bryant Ranch Prepack	71335-0451	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	7/21/2010	N/A	ANDA	21 TABLET in 1 BOTTLE (71335-0451-4)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Benzphetamine Hydrochloride	42806-081-05	50 mg/1	"TABLET, FILM COATED"	ORAL	ANDA090346	"Epic Pharma, LLC"	42806-081	Benzphetamine Hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	12/16/2015	N/A	ANDA	"500 TABLET, FILM COATED in 1 BOTTLE (42806-081-05)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
benzphetamine hydrochloride	46672-844-10	50 mg/1	TABLET	ORAL	ANDA090473	"Mikart, LLC"	46672-844	benzphetamine hydrochloride	BENZPHETAMINE HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	11/1/2011	N/A	ANDA	"100 TABLET in 1 BOTTLE, PLASTIC (46672-844-10)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Diethylpropion HCl Controlled-Release	66267-077-30	75 mg/1	TABLET	ORAL	NDA012546	"NuCare Pharmaceuticals, Inc."	66267-077	Diethylpropion hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	11/17/1960	N/A	NDA	30 TABLET in 1 BOTTLE (66267-077-30)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion HCl Immediate-Release	66267-076-90	25 mg/1	TABLET	ORAL	NDA011722	"NuCare Pharmaceuticals, Inc."	66267-076	Diethylpropion hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	08/06/1959	N/A	NDA	90 TABLET in 1 BOTTLE (66267-076-90)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion HCl Immediate-Release	66267-076-30	25 mg/1	TABLET	ORAL	NDA011722	"NuCare Pharmaceuticals, Inc."	66267-076	Diethylpropion hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	08/06/1959	N/A	NDA	30 TABLET in 1 BOTTLE (66267-076-30)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
DIETHYLPROPION HYDROCHLORIDE	50090-0327-5	25 mg/1	TABLET	ORAL	ANDA201212	A-S Medication Solutions	50090-0327	DIETHYLPROPION HYDROCHLORIDE	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	12/27/2010	N/A	ANDA	90 TABLET in 1 BOTTLE (50090-0327-5)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	68788-9423-2	75 mg/1	"TABLET, EXTENDED RELEASE"	ORAL	ANDA091680	"Preferred Pharmaceuticals, Inc."	68788-9423	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	04/29/2014	N/A	ANDA	"20 TABLET, EXTENDED RELEASE in 1 BOTTLE (68788-9423-2)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	71335-0175-0	25 mg/1	TABLET	ORAL	ANDA200177	Bryant Ranch Prepack	71335-0175	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	07/18/2011	N/A	ANDA	42 TABLET in 1 BOTTLE (71335-0175-0)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	71335-0175-2	25 mg/1	TABLET	ORAL	ANDA200177	Bryant Ranch Prepack	71335-0175	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	07/18/2011	N/A	ANDA	90 TABLET in 1 BOTTLE (71335-0175-2)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	71335-0175-4	25 mg/1	TABLET	ORAL	ANDA200177	Bryant Ranch Prepack	71335-0175	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	07/18/2011	N/A	ANDA	14 TABLET in 1 BOTTLE (71335-0175-4)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
DIETHYLPROPION HYDROCHLORIDE	50090-0327-4	25 mg/1	TABLET	ORAL	ANDA201212	A-S Medication Solutions	50090-0327	DIETHYLPROPION HYDROCHLORIDE	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	12/27/2010	N/A	ANDA	28 TABLET in 1 BOTTLE (50090-0327-4)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	68788-9423-6	75 mg/1	"TABLET, EXTENDED RELEASE"	ORAL	ANDA091680	"Preferred Pharmaceuticals, Inc."	68788-9423	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	04/29/2014	N/A	ANDA	"60 TABLET, EXTENDED RELEASE in 1 BOTTLE (68788-9423-6)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
Diethylpropion Hydrochloride	71335-0175-5	25 mg/1	TABLET	ORAL	ANDA200177	Bryant Ranch Prepack	71335-0175	Diethylpropion Hydrochloride	DIETHYLPROPION HYDROCHLORIDE	HUMAN PRESCRIPTION DRUG	07/18/2011	N/A	ANDA	21 TABLET in 1 BOTTLE (71335-0175-5)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIV	No	12/31/2021
